product_id;product_name;description;category_id;brand;price_usd;stock_quantity;created_at;price_eur;price_egp
1;OnePlus Purpose Max;Agent every development say quality.;1;OnePlus;687.74;71;08/08/2025;584.4239972;33128.46066
2;Puma Offer Pro;Opportunity all behavior discussion own.;2;Puma;240.29;16;24/11/2024;204.1923434;11574.77799
3;Penguin Decide Plus;Information last everything thank serve civil institution everyone democratic shake.;3;Penguin;32.79;13;04/12/2023;27.86410979;1579.495485
4;Nivea Best;Benefit suggest page southern role movie win her.;4;Nivea;141.16;214;17/11/2024;119.9541854;6799.682303
5;Under Armour Finally;Peace technology officer relate animal direction eye bag do big everyone.;5;Under Armour;146.31;445;21/01/2025;124.3305247;7047.757989
6;IKEA They;Class great prove reduce raise author play move.;6;IKEA;336.13;216;24/03/2024;285.634743;16191.39425
7;Panasonic Common Plus;Here writer policy news range successful simply director allow.;7;Panasonic;1436.68;172;18/05/2024;1220.854201;69204.92754
8;LEGO Institution Pro;At tree note responsibility defense material those.;8;LEGO;75;176;27/01/2025;63.7330965;3612.752711
9;PepsiCo Low Pro;Enter east no enjoy once today.;9;PepsiCo;73.24;274;22/07/2024;62.23749317;3527.973448
10;Johnson & Johnson High;Young catch management sense technology check civil.;10;Johnson & Johnson;115.42;282;25/02/2025;98.08098664;5559.785572
11;Continental Knowledge;As high you more wife team activity result race Mr.;11;Continental;498.63;441;10/04/2024;423.7231188;24019.02513
12;Staedtler Specific;Born itself law west then enjoy may condition.;12;Staedtler;56.66;23;24/08/2025;48.14822997;2729.314248
13;OnePlus Born Max;Fear police participant check several much single morning a food affect.;1;OnePlus;2464.53;437;06/09/2025;2094.295044;118716.4992
14;Adidas Him;Dream drive note bad rule staff within.;2;Adidas;158.25;232;02/11/2024;134.4768336;7622.908221
15;O'Reilly Space Max;Campaign little near enter their institution.;3;O'Reilly;16.52;136;27/02/2024;14.03827672;795.7689972
16;L'Oreal Woman;Sense ready require human public health tonight later easy ask.;4;L'Oreal;36.71;373;02/10/2023;31.1952263;1768.322027
17;Under Armour Per Lite;Discover detail audience piece director town teacher audience draw protect.;5;Under Armour;142.27;473;29/02/2024;120.8974352;6853.151043
18;Ashley Notice;Rich think office drug list imagine.;6;Ashley;454.84;166;28/11/2023;386.5114882;21909.65924
19;Philips Bill Pro;Great in tell approach president position art rock song.;7;Philips;1211.47;205;09/12/2023;1029.476459;58356.55369
20;Mattel Energy Max;Couple large instead everything economic type.;8;Mattel;46.46;255;25/08/2024;39.48052885;2237.97988
21;Kellogg's System;Better present music address behavior send door image loss ten.;9;Kellogg's;64.64;73;16/08/2025;54.92943144;3113.711137
22;Pfizer Artist Max;Her world enter six lawyer institution.;10;Pfizer;224.86;219;05/04/2025;191.0803211;10831.51433
23;Bridgestone Step;Product main couple design around save article finish anyone live.;11;Bridgestone;183.26;70;30/08/2025;155.7296969;8827.640825
24;Faber-Castell Tonight;Church whether bag control organization push dog build three east.;12;Faber-Castell;60.71;440;20/12/2024;51.58981718;2924.402895
25;Apple Among Plus;Bank price north first end prove fire enter capital population lead.;1;Apple;2000.99;216;06/09/2025;1700.390517;96387.76064
26;Uniqlo Society Lite;Act perform none beyond Mrs.;2;Uniqlo;242.4;239;12/10/2024;205.9853679;11676.41676
27;O'Reilly Evidence;Value thing these hard citizen street.;3;O'Reilly;52.34;5;15/03/2025;44.47720361;2521.219692
28;L'Oreal Five;Worker southern more property never use billion there enough threat score.;4;L'Oreal;108.78;136;14/01/2024;92.43848316;5239.936532
29;Reebok Expert Lite;Painting response data plant enough major town.;5;Reebok;87.5;1;04/07/2025;74.35527925;4214.878163
30;Ashley Approach;Plant stop analysis four capital.;6;Ashley;541.51;256;06/04/2024;460.1614545;26084.55628
31;Bosch Color;Necessary into act away third tough nation strong old.;7;Bosch;177.49;320;09/01/2024;150.8264973;8549.699716
32;Mattel Law;Among half value win always group.;8;Mattel;103.99;101;26/02/2025;88.36806273;5009.202059
